"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000910","cytokinesis","5/15","195/18842",0.0256410256410256,32.208547008547,12.3649798439023,3.11353129146142e-07,4.69424717789568e-05,4.69424717789568e-05,"NUSAP1/PRC1/CEP55/KIF4A/KIF20A",5
"GO:0007051","spindle organization","5/15","195/18842",0.0256410256410256,32.208547008547,12.3649798439023,3.11353129146142e-07,4.69424717789568e-05,4.69424717789568e-05,"PRC1/DLGAP5/KIF4A/NEK2/CCNB1",5
"GO:0045842","positive regulation of mitotic metaphase/anaphase transition","3/15","18/18842",0.166666666666667,209.355555555556,24.9627497729485,3.30695158246065e-07,4.86121882621715e-05,4.86121882621715e-05,"UBE2C/DLGAP5/CDC20",3
"GO:1902101","positive regulation of metaphase/anaphase transition of cell cycle","3/15","19/18842",0.157894736842105,198.336842105263,24.2911231890447,3.92512864985492e-07,5.62920889296266e-05,5.62920889296266e-05,"UBE2C/DLGAP5/CDC20",3
"GO:1901970","positive regulation of mitotic sister chromatid separation","3/15","22/18842",0.136363636363636,171.290909090909,22.5579711986523,6.22914082921437e-07,8.72079716090012e-05,8.72079716090012e-05,"UBE2C/DLGAP5/CDC20",3
"GO:0051988","regulation of attachment of spindle microtubules to kinetochore","3/15","23/18842",0.130434782608696,163.84347826087,22.0568281761254,7.16008902683366e-07,9.79100545994929e-05,9.79100545994929e-05,"NEK2/CCNB1/CDK1",3
"GO:0010638","positive regulation of organelle organization","6/15","466/18842",0.0128755364806867,16.1733905579399,9.36175231625311,9.17734254571129e-07,0.000122642668565414,0.000122642668565414,"NUSAP1/UBE2C/DLGAP5/NEK2/CDC20/CDK1",6
"GO:0000281","mitotic cytokinesis","4/15","104/18842",0.0384615384615385,48.3128205128205,13.6565479607895,1.14087445866834e-06,0.00014907426259933,0.00014907426259933,"NUSAP1/CEP55/KIF4A/KIF20A",4
"GO:0051310","metaphase chromosome alignment","4/15","109/18842",0.036697247706422,46.0966360856269,13.327870767171,1.37710949653818e-06,0.000176030518253142,0.000176030518253142,"NEK2/CCNB1/CENPF/CDK1",4
"GO:1905820","positive regulation of chromosome separation","3/15","31/18842",0.0967741935483871,121.561290322581,18.9622485845572,1.81037664212504e-06,0.000226489673525431,0.000226489673525431,"UBE2C/DLGAP5/CDC20",3
"GO:0061640","cytoskeleton-dependent cytokinesis","4/15","130/18842",0.0307692307692308,38.6502564102564,12.1586834834312,2.78420913510709e-06,0.000341065619050618,0.000341065619050618,"NUSAP1/CEP55/KIF4A/KIF20A",4
"GO:0010948","negative regulation of cell cycle process","5/15","309/18842",0.0161812297734628,20.3257820927724,9.66830846932454,3.01376140646348e-06,0.000361651368775618,0.000361651368775618,"NEK2/CCNB1/CDC20/CENPF/CDK1",5
"GO:0007052","mitotic spindle organization","4/15","134/18842",0.0298507462686567,37.4965174129353,11.9673277863753,3.14153949014392e-06,0.000369445044040925,0.000369445044040925,"PRC1/DLGAP5/KIF4A/CCNB1",4
"GO:0007093","mitotic cell cycle checkpoint signaling","4/15","140/18842",0.0285714285714286,35.8895238095238,11.6955884179361,3.73991586433802e-06,0.000431190299653089,0.000431190299653089,"CCNB1/CDC20/CENPF/CDK1",4
"GO:0045786","negative regulation of cell cycle","5/15","382/18842",0.0130890052356021,16.4415357766143,8.60623831835893,8.47535218073797e-06,0.000958366746591139,0.000958366746591139,"NEK2/CCNB1/CDC20/CENPF/CDK1",5
"GO:0008608","attachment of spindle microtubules to kinetochore","3/15","55/18842",0.0545454545454545,68.5163636363636,14.1536585303433,1.04457017970315e-05,0.00115832769772631,0.00115832769772631,"NEK2/CCNB1/CDK1",3
"GO:0007094","mitotic spindle assembly checkpoint signaling","3/15","56/18842",0.0535714285714286,67.2928571428571,14.0233132234651,1.10316923592982e-05,0.00115832769772631,0.00115832769772631,"CCNB1/CDC20/CENPF",3
"GO:0071173","spindle assembly checkpoint signaling","3/15","56/18842",0.0535714285714286,67.2928571428571,14.0233132234651,1.10316923592982e-05,0.00115832769772631,0.00115832769772631,"CCNB1/CDC20/CENPF",3
"GO:0071174","mitotic spindle checkpoint signaling","3/15","56/18842",0.0535714285714286,67.2928571428571,14.0233132234651,1.10316923592982e-05,0.00115832769772631,0.00115832769772631,"CCNB1/CDC20/CENPF",3
"GO:0031577","spindle checkpoint signaling","3/15","57/18842",0.0526315789473684,66.1122807017544,13.8963831163042,1.16389980969197e-05,0.00118255336803032,0.00118255336803032,"CCNB1/CDC20/CENPF",3
"GO:0033046","negative regulation of sister chromatid segregation","3/15","58/18842",0.0517241379310345,64.9724137931035,13.7727206148664,1.22679856207227e-05,0.00118255336803032,0.00118255336803032,"CCNB1/CDC20/CENPF",3
"GO:0033048","negative regulation of mitotic sister chromatid segregation","3/15","58/18842",0.0517241379310345,64.9724137931035,13.7727206148664,1.22679856207227e-05,0.00118255336803032,0.00118255336803032,"CCNB1/CDC20/CENPF",3
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","3/15","58/18842",0.0517241379310345,64.9724137931035,13.7727206148664,1.22679856207227e-05,0.00118255336803032,0.00118255336803032,"CCNB1/CDC20/CENPF",3
"GO:2000816","negative regulation of mitotic sister chromatid separation","3/15","58/18842",0.0517241379310345,64.9724137931035,13.7727206148664,1.22679856207227e-05,0.00118255336803032,0.00118255336803032,"CCNB1/CDC20/CENPF",3
"GO:1901991","negative regulation of mitotic cell cycle phase transition","4/15","190/18842",0.0210526315789474,26.4449122807018,9.94997748715719,1.25356825271051e-05,0.00118886795579642,0.00118886795579642,"CCNB1/CDC20/CENPF/CDK1",4
"GO:0000075","cell cycle checkpoint signaling","4/15","191/18842",0.0209424083769634,26.3064572425829,9.92210951618412,1.27978169833003e-05,0.00119446291844136,0.00119446291844136,"CCNB1/CDC20/CENPF/CDK1",4
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","3/15","60/18842",0.05,62.8066666666667,13.534651325309,1.3592468815634e-05,0.00122959564055274,0.00122959564055274,"CCNB1/CDC20/CENPF",3
"GO:1905819","negative regulation of chromosome separation","3/15","60/18842",0.05,62.8066666666667,13.534651325309,1.3592468815634e-05,0.00122959564055274,0.00122959564055274,"CCNB1/CDC20/CENPF",3
"GO:0051985","negative regulation of chromosome segregation","3/15","61/18842",0.0491803278688525,61.7770491803279,13.4199906966161,1.42886940564524e-05,0.00127299274321122,0.00127299274321122,"CCNB1/CDC20/CENPF",3
"GO:0140694","membraneless organelle assembly","5/15","427/18842",0.0117096018735363,14.7088212334114,8.08788992762603,1.45353791221999e-05,0.00127564222744083,0.00127564222744083,"PRC1/DLGAP5/KIF4A/NEK2/CENPF",5
"GO:0045839","negative regulation of mitotic nuclear division","3/15","64/18842",0.046875,58.88125,13.0921286478065,1.6517666472484e-05,0.00142829233615009,0.00142829233615009,"CCNB1/CDC20/CENPF",3
"GO:0051784","negative regulation of nuclear division","3/15","70/18842",0.0428571428571429,53.8342857142857,12.5001904728471,2.16394662429466e-05,0.0018440588624424,0.0018440588624424,"CCNB1/CDC20/CENPF",3
"GO:0055012","ventricular cardiac muscle cell differentiation","2/15","10/18842",0.2,251.226666666667,22.340475415643,2.65217598476777e-05,0.00219644997048373,0.00219644997048373,"CCNB1/CDK1",2
"GO:1904666","regulation of ubiquitin protein ligase activity","2/15","10/18842",0.2,251.226666666667,22.340475415643,2.65217598476777e-05,0.00219644997048373,0.00219644997048373,"UBE2C/CDC20",2
"GO:0045930","negative regulation of mitotic cell cycle","4/15","237/18842",0.0168776371308017,21.2005625879044,8.83343959532052,2.9873829795249e-05,0.00243969609994534,0.00243969609994534,"CCNB1/CDC20/CENPF/CDK1",4
"GO:0051256","mitotic spindle midzone assembly","2/15","11/18842",0.181818181818182,228.387878787879,21.2928602745622,3.24005747967122e-05,0.00260979972335161,0.00260979972335161,"PRC1/KIF4A",2
"GO:0000022","mitotic spindle elongation","2/15","12/18842",0.166666666666667,209.355555555556,20.3787523164709,3.88628069501839e-05,0.00304684406489442,0.00304684406489442,"PRC1/KIF4A",2
"GO:0051443","positive regulation of ubiquitin-protein transferase activity","2/15","12/18842",0.166666666666667,209.355555555556,20.3787523164709,3.88628069501839e-05,0.00304684406489442,0.00304684406489442,"UBE2C/CDC20",2
"GO:0051231","spindle elongation","2/15","13/18842",0.153846153846154,193.251282051282,19.5719607467143,4.59076477225613e-05,0.00350567491699559,0.00350567491699559,"PRC1/KIF4A",2
"GO:0051255","spindle midzone assembly","2/15","13/18842",0.153846153846154,193.251282051282,19.5719607467143,4.59076477225613e-05,0.00350567491699559,0.00350567491699559,"PRC1/KIF4A",2
"GO:1901988","negative regulation of cell cycle phase transition","4/15","269/18842",0.0148698884758364,18.6785625774473,8.24307220015659,4.89884573312446e-05,0.00369297601420152,0.00369297601420152,"CCNB1/CDC20/CENPF/CDK1",4
"GO:0010389","regulation of G2/M transition of mitotic cell cycle","3/15","97/18842",0.0309278350515464,38.8494845360825,10.5489724248227,5.75372674883061e-05,0.00428252066874987,0.00428252066874987,"CCNB1/CENPF/CDK1",3
"GO:2001251","negative regulation of chromosome organization","3/15","105/18842",0.0285714285714286,35.8895238095238,10.1192122697869,7.28753492993424e-05,0.00535633817350167,0.00535633817350167,"CCNB1/CDC20/CENPF",3
"GO:1902749","regulation of cell cycle G2/M phase transition","3/15","110/18842",0.0272727272727273,34.2581818181818,9.87437949756846,8.36999091435379e-05,0.00607599340449386,0.00607599340449386,"CCNB1/CENPF/CDK1",3
"GO:0051438","regulation of ubiquitin-protein transferase activity","2/15","19/18842",0.105263157894737,132.224561403509,16.1530505529255,0.0001003662900054,0.00719699738087504,0.00719699738087504,"UBE2C/CDC20",2
"GO:0051225","spindle assembly","3/15","127/18842",0.0236220472440945,29.6724409448819,9.15121280500608,0.000128243166617255,0.00908517855071636,0.00908517855071636,"PRC1/KIF4A/NEK2",3
"GO:0010971","positive regulation of G2/M transition of mitotic cell cycle","2/15","23/18842",0.0869565217391304,109.228985507246,14.6594027743961,0.000148222193265465,0.0103755535285825,0.0103755535285825,"CCNB1/CDK1",2
"GO:0061952","midbody abscission","2/15","24/18842",0.0833333333333333,104.677777777778,14.3453652956118,0.00016162258311869,0.0111804798675047,0.0111804798675047,"CEP55/KIF20A",2
"GO:0031145","anaphase-promoting complex-dependent catabolic process","2/15","25/18842",0.08,100.490666666667,14.050254660378,0.000175595938760047,0.0118678634472308,0.0118678634472308,"UBE2C/CDC20",2
"GO:0060045","positive regulation of cardiac muscle cell proliferation","2/15","25/18842",0.08,100.490666666667,14.050254660378,0.000175595938760047,0.0118678634472308,0.0118678634472308,"CCNB1/CDK1",2
"GO:1902751","positive regulation of cell cycle G2/M phase transition","2/15","26/18842",0.0769230769230769,96.625641025641,13.7722349891426,0.00019014146161837,0.0127049067535911,0.0127049067535911,"CCNB1/CDK1",2
"GO:0051984","positive regulation of chromosome segregation","2/15","28/18842",0.0714285714285714,89.7238095238095,13.2612868624111,0.000220945818531343,0.0145973192467898,0.0145973192467898,"CCNB1/CDK1",2
"GO:0055023","positive regulation of cardiac muscle tissue growth","2/15","30/18842",0.0666666666666667,83.7422222222222,12.8019865319705,0.00025402928060025,0.016596579665883,0.016596579665883,"CCNB1/CDK1",2
"GO:0051382","kinetochore assembly","2/15","33/18842",0.0606060606060606,76.1292929292929,12.1924353453409,0.000307913884461809,0.0198959740729169,0.0198959740729169,"DLGAP5/CENPF",2
"GO:0031396","regulation of protein ubiquitination","3/15","172/18842",0.0174418604651163,21.9093023255814,7.77568483815223,0.000313740767597986,0.020052127320393,0.020052127320393,"UBE2C/CDC20/CDK1",3
"GO:0051383","kinetochore organization","2/15","34/18842",0.0588235294117647,73.8901960784314,12.0072709821635,0.000327008088304754,0.0204553995662974,0.0204553995662974,"DLGAP5/CENPF",2
"GO:0060421","positive regulation of heart growth","2/15","34/18842",0.0588235294117647,73.8901960784314,12.0072709821635,0.000327008088304754,0.0204553995662974,0.0204553995662974,"CCNB1/CDK1",2
"GO:0046622","positive regulation of organ growth","2/15","36/18842",0.0555555555555556,69.7851851851852,11.6601728474466,0.000366890748496699,0.0227086063280062,0.0227086063280062,"CCNB1/CDK1",2
"GO:0060043","regulation of cardiac muscle cell proliferation","2/15","37/18842",0.0540540540540541,67.8990990990991,11.4971846270729,0.000387677623732525,0.0237452544536172,0.0237452544536172,"CCNB1/CDK1",2
"GO:1902410","mitotic cytokinetic process","2/15","39/18842",0.0512820512820513,64.417094017094,11.1900521579817,0.000430938517398678,0.02612287095159,0.02612287095159,"CEP55/KIF20A",2
"GO:0060038","cardiac muscle cell proliferation","2/15","44/18842",0.0454545454545455,57.0969696969697,10.515186027926,0.000548895669215776,0.0329337401529466,0.0329337401529466,"CCNB1/CDK1",2
"GO:1903320","regulation of protein modification by small protein conjugation or removal","3/15","214/18842",0.014018691588785,17.6093457943925,6.89736711251446,0.00059428412923206,0.035296875554389,0.035296875554389,"UBE2C/CDC20/CDK1",3
"GO:1901873","regulation of post-translational protein modification","3/15","219/18842",0.0136986301369863,17.2073059360731,6.80949819226413,0.000635602237294477,0.0373734115529152,0.0373734115529153,"UBE2C/CDC20/CDK1",3
"GO:0000082","G1/S transition of mitotic cell cycle","3/15","235/18842",0.0127659574468085,16.0357446808511,6.54677986070483,0.000780076103143517,0.0454143315493454,0.0454143315493454,"RRM2/CCNB1/CDK1",3
"GO:0032506","cytokinetic process","2/15","53/18842",0.0377358490566038,47.4012578616352,9.54823058204022,0.000796252718726444,0.0459016273148185,0.0459016273148185,"CEP55/KIF20A",2
"GO:0055021","regulation of cardiac muscle tissue growth","2/15","54/18842",0.037037037037037,46.5234567901235,9.45581310246148,0.000826497797944101,0.047182592737003,0.047182592737003,"CCNB1/CDK1",2
